+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_out74_25_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                 design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/FSM_sequential_state_reg[3]/D|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                                     design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/vblank_int_reg/D|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                                     design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/hblank_int_reg/D|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                                    design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/v_count_reg[11]/R|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                                     design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/v_count_reg[9]/R|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                                     design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/v_count_reg[8]/R|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                                    design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/v_count_reg[10]/R|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                               design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/active_video_int_reg/D|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                                      design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/vsync_int_reg/D|
| clk_out74_25_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                 design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/FSM_sequential_state_reg[0]/D|
|               clk_fpga_0 |clk_out74_25_design_1_clk_wiz_0_0 |                                     design_1_i/v_tc_0/U0/U_TC_TOP/GEN_GENERATOR.U_TC_GEN/line_end_v_reg/D|
